Date,Age,Gender,Profession,Methodology,Reason,Time,District,Source
2010-04-09,14,Female,Student,Hanging,Eve teasing,Night,Gaibandha,http://archive.thedailystar.net/newDesign/news-details.php?nid=133837
2010-04-14,14,Female,Student,Hanging,Family feud,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=134510
2010-04-15,18,Female,Student,Hanging,-,Night,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=134623
2010-04-16,18,Female,Student,Hanging,Mental illness,-,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=134785
2010-04-16,18,Female,Student,Hanging,-,22:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=134785
2010-04-19,20,Female,Housewife,Fire,Torture,06:00:00,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=135016
2010-04-21,18,Male,Student,Hanging,-,19:30:00,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=135454
2010-04-22,20,Female,Housewife,Poison,Family fued,Night,Pirojpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=135810
2010-05-04,30,Male,not given,Poison,Family fued,05:00:00,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=137259
2010-05-04,18,Female,not given,Poison,Family feud,Night,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=137259
2010-05-06,18,Female,Student,Hanging,Family feud,11:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=137436
2010-05-07,30,Female,Housewife,Poison,Family fued,06:00:00,Manikganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=137543
2010-05-07,15,Male,Student,Hanging,Mental illness,11:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=137554
2010-05-13,13,Female,not given,Hanging,Eve teasing,10:30:00,Narayanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=138384
2010-05-14,18,Female,Housewife,Hanging,Family feud,Night,Shariatpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=138815
2010-05-17,38,Female,Housewife,Hanging,Family feud,Morning,Jhenaidah,http://archive.thedailystar.net/newDesign/news-details.php?nid=138977
2010-05-18,19,Female,Housewife,Hanging,Family feud,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=139294
2010-05-23,14,Female,housemaid,Hanging,Mental problem,09:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=139840
2010-05-29,18,Female,Housewife,Poison,Family feud,Evening,Manikganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=140805
2010-05-30,65,Female,Housewife,Hanging,-,Morning,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=140885
2010-05-29,22,Female,Housewife,Hanging,Family feud,Evening,Bogra,http://archive.thedailystar.net/newDesign/news-details.php?nid=140885
2010-06-11,35,Male,Accused criminal,Hanging,-,13:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=142370
2010-06-19,18,Female,Student,Hanging,-,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=143410
2010-06-21,15,Female,housemaid,Hanging,Personal problem,14:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=143705
2010-06-21,17,Female,housemaid,Hanging,-,22:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=143840
2010-07-10,17,Female,Garment worker,Hanging,unknown,11:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=146288
2012-07-16,40,Female,not given,Setting fire,Family feud,Night,Narayanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=147355
2010-07-19,12,Female,Student,Poison,Family feud,Night,Lalmonirhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=147669
2010-07-19,22,Female,Not given,Hanging,Family feud,Night,Lalmonirhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=147669
2010-07-21,11,Female,housemaid,Hanging,unknown,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=147913
2010-07-25,24,Male,Student,Jumping off river,Personal problem,unknown,Cox's Bazar,http://archive.thedailystar.net/newDesign/news-details.php?nid=148936
2010-08-01,18,Female,Student,Hanging,Academic problem,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=149100
2010-08-01,35,Male,Accountant,Hanging,Torture,08:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=149100
2010-08-01,20,Female,not given,Hanging,Torture,20:00:00,Nawabganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=149083
2010-08-04,30,Male,BDR member,Hanging,Personal problem,Noon,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=149609
2010-08-05,29,Female,not given,Hanging,Family feud,13:30:00,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=149841
2010-08-05,28,Female,not given,Setting fire,Torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150186
2010-08-09,42,Male,Private bus company employee,Jumping off building,Mental illness,12:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150183
2010-08-09,32,Female,not given,Jumped under running train,Torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150186
2010-08-10,23,Female,Housewife,Hanging,Torture,Noon,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150296
2010-08-04,22,Female,Housewife,Poison,Torture,10:00:00,Naogaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=150296
2010-08-11,18,Female,not given,Poison,Family feud,Morning,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150414
2010-08-11,13,Female,not given,Poison,Family feud,Morning,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150414
2010-08-10,23,Female,Housewife,Hanging,Torture,not given,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150414
2010-08-12,18,Female,unknown,Jumping off river,unknown,21:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150610
2010-08-13,27,Female,Housewife,Setting fire,Torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=150712
2010-08-13,21,Female,Housewife,Hanging,not given,not given,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150790
2010-08-13,25,Male,not given,Poison,Family feud,not given,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150790
2010-08-13,28,Male,not given,Poison,Family feud,not given,Khagrachari,http://archive.thedailystar.net/newDesign/news-details.php?nid=150790
2010-08-16,45,Male,Dhaka City Corporation official,Shooting,Physical illness,06:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=151084
2010-08-16,15,Female,Mentally challenged,Hanging,not given,16:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=151227
2010-08-18,14,Female,Student,Poison,Family feud,Night,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=151493
2010-08-20,23,Female,Housewife,Poison,unknown,Noon,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=151743
2010-08-20,19,Female,Housewife,Hanging,not given,Morning,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=151743
2010-08-20,24,Female,Housewife,Hanging,Torture,Morning,Narsingdi,http://archive.thedailystar.net/newDesign/news-details.php?nid=151743
2010-08-21,21,Female,Ex-Garment worker,Setting fire,Torture,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=151880
2010-08-26,20,Male,Mentally ill,Hanging,Mental illness,Midnight,Jhalokati,http://archive.thedailystar.net/newDesign/news-details.php?nid=152750
2010-08-29,48,Male,not given,Hanging,not given,04:30:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=153031
2010-08-29,70,Male,not given,Hanging,not given,05:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=153031
2010-08-29,85,Female,not given,Poison,not given,Evening,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=153031
2010-08-29,60,Female,not given,Hanging,Family feud,Morning,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=153031
2010-09-03,27,Female,not given,Hanging,Torture,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=153575
2010-09-01,22,Female,Housewife,Poison,Torture,not given,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=153712
2010-09-02,20,Female,Housewife,Hanging,Torture,Night,Brahmanbaria,http://archive.thedailystar.net/newDesign/news-details.php?nid=153712
2010-09-04,22,Female,Housewife,Hanging,unknown,20:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=153974
2010-09-07,14,Female,Student,Poison,Eve-teasing,16:00:00,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154120
2010-09-05,40,Female,Housewife,Hanging,Family fued,Night,Sherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=154146
2010-09-11,25,Male,Day labourer,Stabbing himself,Personal problem,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154386
2010-09-15,28,Male,not given,Setting fire,Family feud,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154611
2010-09-14,20,Female,Student,Hanging,Family feud,20:30:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
2010-09-13,22,Male,Community police,Hanging,not given,Night,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
2010-09-15,25,Female,Housewife,Poison,Family feud,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
2010-09-15,25,Male,not given,Poison,Financial problem,Morning,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
2010-09-15,22,Male,not given,Poison,Physical illness,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=154654
2010-09-16,28,Female,not given,Hanging,Family fued,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=154728
2010-09-15,23,Female,not given,Poison,Family fued,Morning,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=154785
2010-09-15,24,Female,not given,Poison,Family fued,15:30:00,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=154785
2010-09-15,20,Female,not given,Hanging,not given,Morning,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=154785
2010-09-18,23,Male,Student,Jumping off building,Drug addict,06:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=155061
2010-09-19,30,Female,Housewife,Poison,Family feud,Noon,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=155335
2010-09-19,25,Female,Housewife,Hanging,Torture,Afternoon,Meherpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=155335
2010-09-20,18,Female,Student,Poison,Family feud,Night,Jhalokati,http://archive.thedailystar.net/newDesign/news-details.php?nid=155478
2010-09-19,18,Female,Housewife,Poison,Personal problem,Night,Narsingdi,http://archive.thedailystar.net/newDesign/news-details.php?nid=155478
2010-09-24,16,Female,not given,Hanging,not given,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=155894
2010-09-26,15,Female,Student,Poison,Personal problem,not given,Lalmonirhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=156113
2010-09-24,18,Female,not given,Hanging,Torture,Noon,Joypurhat,http://archive.thedailystar.net/newDesign/news-details.php?nid=156113
2010-09-23,15,Female,housemaid,not given,not given,Morning,Panchagarh,http://archive.thedailystar.net/newDesign/news-details.php?nid=156113
2010-09-23,13,Female,Student,Hanging,unknown,08:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=156113
2010-10-02,22,Male,Rickshaw-puller,Poison,Family feud,13:00:00,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=156940
2010-10-04,35,Male,mentally ill,Hanging,Mental illness,Night,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=157217
2010-10-03,30,Female,Housewife,Poison,Family feud,08:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=157217
2010-10-05,23,Male,Student,Hanging,not given,Afternoon,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=157517
2010-10-07,28,Male,not given,Hanging,Family fued,Night,Jessore,http://archive.thedailystar.net/newDesign/news-details.php?nid=157735
2010-10-12,26,Male,not given,Poison,Family feud,Evening,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=158565
2010-10-14,35,Female,Cook at police officer's mess,Setting fire,Sexually abused,19:30:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=158657
2010-10-16,13,Female,Student,Hanging,unknown,Night,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=158902
2010-10-20,18,Female,not given,Hanging,not given,Morning,Nawabganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=159274
2010-10-25,13,Female,mentally ill,Hanging,Mental illness,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=160042
2010-10-24,45,Female,Housewife,Poison,Family feud,Morning,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=159949
2010-10-23,60,Male,not given,Poison,unknown,Morning,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=159949
2010-10-29,26,Female,Housewife,Poison,Family feud,Morning,Dinajpur,http://archive.thedailystar.net/newDesign/archive.php?date=2010-10-31
2010-11-01,20,Female,Student,Hanging,not given,Night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=160973
2010-11-01,13,Female,Student,Hanging,Eve-teasing,08:30:00,Sirajganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=160980
2010-10-31,25,Female,not given,Poison,Family feud,Noon,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=161054
2010-10-31,14,Female,not given,not given,unknown,not given,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=161054
2010-11-05,15,Female,housemaid,Hanging,unknown,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161475
2010-11-06,15,Female,Student,Hanging,not given,Evening,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161619
2010-11-07,20,Female,not given,Hanging,unknown,Noon,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=161887
2010-11-08,20,Female,Housewife,Hanging,Family feud,01:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161909
2010-11-07,18,Female,Garment worker,Hanging,not given,22:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161909
2010-11-07,18,Male,Day labourer,Hanging,Physical illness,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161909
2010-11-08,47,Male,Medical technician,Hanging,Family fued,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=161909
2010-11-09,65,Female,not given,Hanging,unknown,Morning,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=162141
2010-11-12,19,Female,Student,Poison,Personal problem,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=162394
2010-11-19,12,Female,Student,Hanging,not given,18:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=162923
2010-11-20,13,Female,Student,Hanging,Eve-teasing,Morning,Dinajpur,http://archive.thedailystar.net/newDesign/news-details.php?nid=163025
2010-11-29,20,Male,Barbar,Jumped under running train,not given,12:30:00,Rajshahi,http://archive.thedailystar.net/newDesign/news-details.php?nid=164215
2010-12-01,17,Female,Student,Hanging,Physical illness,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=164467
2010-12-02,20,Female,housemaid,Hanging,unknown,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=164620
2010-12-10,38,Male,Student,Poison,not given,12:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=165628
2010-12-10,45,Male,not given,Poison,Physical illness,Night,Sylhet,http://archive.thedailystar.net/newDesign/news-details.php?nid=166128
2010-12-14,14,Female,Cleaner of private company at Airport,Hanging,Eve-teasing,Evening,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=166302
2010-12-22,30,Female,Housewife,Poison,Family fued,Noon,Jhenaidah,http://archive.thedailystar.net/newDesign/news-details.php?nid=167156
2010-12-23,45,Female,Housewife,Poison,Family fued,Midnight,Narayanganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=167472
2010-12-26,50,Male,Doctor,slitting throat,Drug addict,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=167659
2010-12-26,50,Female,housemaid,Hanging,Allegation,Morning,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=167659
2010-12-26,18,Female,housemaid,Hanging,not given,Afternoon,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=167659
2011-01-07,16,Female,Garment worker,Poison,not given,08:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=169225
2011-01-07,30,Male,not given,Hanging,not given,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=169225
2011-01-17,23,Female,not given,Hanging,Family fued,21:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=170749
2011-01-17,40,Male,not given,Hanging,not given,21:45:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=170749
2011-01-25,10,Female,student,Poison,Failing in exam,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=171614
2011-01-25,14,Female,Beauty parlour worker,Hanging,Heated argument,not given,Gazipur,http://archive.thedailystar.net/newDesign/news-details.php?nid=171614
2011-02-01,40,Male,not given,Hanging,Family fued,not given,Munshiganj,http://archive.thedailystar.net/newDesign/news-details.php?nid=172486
2011-02-03,14,Female,not given,Poison,Family fued,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=172794
2011-02-03,24,Female,housewife,Hanging,not given,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=172794
2011-02-03,30,Female,housewife,Hanging,not given,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=172794
2011-02-07,25,Female,housewife,Hanging,Tortured,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=173361
2011-02-07,15,Female,student,Hanging,Family fued,22:00:00,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173292
2011-02-08,26,Male,not given,Jumped,Family fued,11:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=173477
2011-02-08,10,Female,student,Poison,Family fued,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-08,25,Male,Newly married man,Hanging,not given,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-08,30,Female,housewife,Poison,not given,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-08,38,Female,housewife,Poison,not given,not given,Satkhira,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-08,15,Male,student,Poison,Family fued,19:00:00,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-08,18,Male,not given,Poison,not given,not given,Thakurgaon,http://archive.thedailystar.net/newDesign/news-details.php?nid=173449
2011-02-10,16,Female,student,Hanging,Family fued,morning,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=173725
2011-02-10,16,Female,student,Hanging,Family fued,afternoon,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=173725
2011-02-10,24,Female,housewife,Hanging,Tortured,not given,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=173725
2011-02-10,22,Male,not given,Poison,Family fued,not given,Chuadanga,http://archive.thedailystar.net/newDesign/news-details.php?nid=173725
2011-02-14,15,Female,Housemaid,Hanging,not given,not given,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=174296
2011-02-18,40,Female,housewife,Hanging,Family fued,12:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=174652
2011-02-18,22,Female,Beauty parlour worker,Hanging,Family fued,14:30:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=174652
2011-02-21,14,Female,rape victim,Set fire,Raped,not given,Rajshahi,http://archive.thedailystar.net/newDesign/news-details.php?nid=174978
2011-02-23,18,Female,Telephone operator,Hanging,Personal problem,20:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=175336
2011-02-23,37,Female,schizophrenia,Hanging,Illness,23:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=175336
2011-02-23,25,Female,unidentified,Jumped,not given,18:00:00,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=175350
2011-02-24,18,Female,student,Hanging,not given,night,Dhaka,http://archive.thedailystar.net/newDesign/news-details.php?nid=175426
2011-02-28,18,Female,housewife,Hanging,Family fued,not given,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=175929
2011-02-28,16,Female,housewife,Hanging,Torture,not given,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=175929
2011-02-28,25,Female,housewife,Poison,Family fued,afternoon,Kushtia,http://archive.thedailystar.net/newDesign/news-details.php?nid=175929
